Month;Transport_index;Road_transport;Rail_transport;Inland_waterways_transport;Air_transport
2018-01-01;99.4539007992416;99.2447800977343;103.63018069995;91.2212973205405;105.012855462871
2018-02-01;99.7418660227741;98.3562860950689;102.95825005132;104.050956125451;104.688454495988
2018-03-01;100.463653921995;97.8231896934696;104.013069799384;114.9316424426;104.776462527481
2018-04-01;99.6353384668452;97.8231896934696;103.544145816677;106.013020553752;104.773229764485
2018-05-01;102.089958381865;100.755219902266;106.064866913589;104.263001354532;103.086280183971
2018-06-01;101.317167549499;99.511328298534;104.491605578951;109.425272589893;104.828474625854
2018-07-01;100.590109439911;98.9782318969347;98.6646446627462;119.201363202987;100.487640119282
2018-08-01;103.053858230039;99.511328298534;104.123314171389;131.352709116459;103.985621713094
2018-09-01;102.591362252888;100.1332741004;104.71120283092;118.967543895453;102.940349695302
2018-10-01;102.420545302731;100.666370501999;102.864447743337;116.634361806153;102.966591969998
2018-11-01;103.125660081643;100.488671701466;104.236684796869;123.483898726197;102.322903648796
2018-12-01;102.876085370174;101.821412705464;104.43234056296;108.377075854678;102.710351650222
2019-01-01;101.998612514933;101.466015104398;103.689902805036;102.650390238366;102.467308312599
2019-02-01;101.559572868699;100.488671701466;102.905453027353;107.735680055602;102.168181722522
2019-03-01;101.863484733181;101.021768103065;103.007425790461;106.503719395938;102.711774795427
2019-04-01;100.640140101325;100.488671701466;100.526259618495;102.239124531093;100.502372748141
2019-05-01;100.62285221248;99.4224788982674;101.531996779257;108.936612580477;102.195570089941
2019-06-01;99.9402508053972;100.1332741004;100.24585772166;97.5553889350352;99.0035913429979
2019-07-01;99.9871048790693;100.399822301199;99.1945902131284;98.2450194439937;100.063297960015
2019-08-01;99.2399197402351;99.511328298534;98.8446556184825;97.7985858405052;99.2268170292998
2019-09-01;98.921092210414;99.0670812972012;100.253604921738;94.4952127153907;98.8850206483296
2019-10-01;99.2512511571792;99.6001776988005;99.0581539501272;96.6650366400748;98.8411869406414
2019-11-01;98.7732202646147;99.6890270990671;98.1051723333268;92.3542691150411;98.1168804072625
2019-12-01;98.160268577554;98.711683696135;96.5267532870264;97.2098981492623;97.5991528409294
2020-01-01;100.999087742931;100.844069302532;99.1576656557549;107.921110122165;96.0037148167712
2020-02-01;101.844086057659;102.44335850733;100.797854495537;98.6100026384501;95.5532238126673
2020-03-01;96.405163387837;96.4904486894713;94.6484793876859;100.606379576675;89.6380357060135
2020-04-01;87.0039951948558;86.6281652598845;82.2901285089137;104.09474077371;85.8590279076607
2020-05-01;91.6327056771009;92.3145268769436;85.1647153009066;102.332594835579;91.6218142184431
2020-06-01;95.563647954526;96.4015992892048;88.6057169068314;106.143542206098;90.4725421684859
2020-07-01;97.8470709944734;98.533984895602;91.5647460727558;108.168656140666;92.3822978830293
2020-08-01;98.1486644983405;99.7778764993336;93.6087298328059;93.50498786875;96.8432307234612
2020-09-01;99.3004319342977;100.488671701466;94.2220894459882;100.797335359352;98.7714301401082
2020-10-01;99.4805335002357;100.666370501999;96.7861037391027;94.3743002212639;99.5461541340717
2020-11-01;100.146699215877;101.199466903598;97.7470281378923;95.5937178616522;101.374308692916
2020-12-01;104.337785656505;104.664593513994;100.143945022366;112.348085803488;108.622522341492
2021-01-01;101.585557382268;102.17681030653;99.8872379422114;99.8614905964248;109.404756488137
2021-02-01;97.4548387542261;99.6890270990671;93.9000504846553;84.1790780469647;110.871117176912
2021-03-01;103.765373342896;104.220346512661;103.647395402654;99.3867806488929;110.913691920326
2021-04-01;103.398841429161;103.331852509996;105.303635993106;98.8229115410816;116.191498392354
2021-05-01;103.432718867409;103.598400710795;104.982891648612;97.5434674129825;114.133320264626
2021-06-01;103.823932245708;103.776099511328;104.549362713531;102.149818938252;113.507082542237
2021-07-01;101.574981385247;102.798756108396;104.157726126087;82.7181148013057;111.847685624096
2021-08-01;100.35904287209;100.755219902266;102.711763108602;90.1801046389519;110.94101468892
2021-09-01;100.502399300767;100.932918702799;101.913078011107;92.371189512759;111.286156561646
2021-10-01;102.800442067546;102.354509107064;104.568795941145;102.393861001519;111.983931257983
2021-11-01;105.317472259833;103.331852509996;106.255867619264;122.269776228569;108.847124276309
2021-12-01;105.049886029709;104.220346512661;105.859069595828;110.679796628186;119.160762522838
2022-01-01;103.476614425773;103.243003109729;107.12091704154;96.0707096385619;114.434038664476
2022-02-01;103.316244683234;103.864948911595;103.15207117808;97.6569547634515;113.090398941172
2022-03-01;103.763099325287;102.44335850733;104.92208257178;114.544810772423;106.090694186406
2022-04-01;102.731467320296;101.821412705464;107.403125312534;99.9570169958371;107.599158690447
2022-05-01;103.09329096373;101.554864504665;108.999488556419;103.760755379921;106.300081889509
2022-06-01;103.036552812371;102.44335850733;105.200523262041;103.566736456338;104.9828345799